package,version,need,alternatives,owner,maintenance,vulnerability_response,license,architectures,version_pin,acquisition,transitives,update_path,attack_surface,base_image,classification,replacement_trigger
cargo-deny,0.19.4,dependency policy checks,Cargo metadata alone lacks license/advisory policy,Kordian Zagaja,Pin releases and review upstream activity,Review RustSec and upstream advisories,MIT OR Apache-2.0,x86_64 and aarch64,exact cargo install version,crates.io through locked cargo install,locked Cargo graph,review then update Dockerfile and ledger,CI build tooling,no,Retain,n/a
cargo-fuzz,0.12.0,bounded parser fuzz orchestration,Unit cases do not explore arbitrary byte streams,Kordian Zagaja,Pin releases and review Rust fuzz project activity,Review RustSec and upstream advisories,MIT OR Apache-2.0,x86_64 and aarch64 hosts,exact cargo install version,crates.io through locked cargo install,locked cargo-fuzz graph,review then update Dockerfile and fuzz lock,CI build tooling,no,Retain,n/a
YubiHSM PKCS11,2.8.0,non-exporting production RSA signing,Software keys violate M3 custody,Kordian Zagaja,Pin signed Yubico releases and review release notes,Review Yubico advisories and release notes,Apache-2.0,isolated x86_64 Linux signing host,exact source version and SHA-256,official signed Yubico source release,libyubihsm and connector runtime,update source lock and repeat SoftHSM plus hardware ceremony,protected production signing,no,Retain,n/a
libp11,0.4.13-1,OpenSSL PKCS11 engine for protected and test signing,Custom PKCS11 FFI is prohibited,Kordian Zagaja,Debian snapshot updates,Review Debian security tracker and upstream advisories,LGPL-2.1-or-later,x86_64 and aarch64 hosts,exact Debian package version,Debian snapshot repository,OpenSSL engine closure,update snapshot and rerun signer smoke,protected signing adapter,no,Retain,n/a
OpenSC,0.26.1-2,PKCS11 test object provisioning,Production operation uses only fixed signer commands,Kordian Zagaja,Debian snapshot updates,Review Debian security tracker and upstream advisories,LGPL-2.1-or-later,x86_64 and aarch64 hosts,exact Debian package version,Debian snapshot repository,OpenSC libraries,update snapshot and rerun signer smoke,disposable test token provisioning,no,Retain,n/a
SoftHSM,2.6.1-3,disposable PKCS11 signer acceptance,Production keys remain hardware-resident,Kordian Zagaja,Debian snapshot updates,Review Debian security tracker and upstream advisories,BSD-2-Clause,x86_64 and aarch64 hosts,exact Debian package version,Debian snapshot repository,Botan sqlite closure,update snapshot and rerun signer smoke,disposable test private keys,no,Retain,n/a
arbitrary,1.4.2,structured byte input for libfuzzer-sys,Replacing it forks the pinned fuzz engine,Kordian Zagaja,Locked fuzz graph review,Review RustSec and upstream advisories,MIT OR Apache-2.0,x86_64 and aarch64 hosts,exact fuzz lock version and checksum,crates.io sparse index,none,update with libfuzzer-sys,CI fuzz parsing,no,Retain,n/a
getrandom,0.4.3,jobserver entropy source for fuzz builds,Replacing it forks locked build tooling,Kordian Zagaja,Locked fuzz graph review,Review RustSec and upstream advisories,Apache-2.0 OR MIT,x86_64 and aarch64 hosts,exact fuzz lock version and checksum,crates.io sparse index,cfg-if libc r-efi,update with jobserver,CI build tooling,no,Retain,n/a
jobserver,0.1.35,native fuzz build job coordination,Replacing it forks locked cc tooling,Kordian Zagaja,Locked fuzz graph review,Review RustSec and upstream advisories,MIT OR Apache-2.0,x86_64 and aarch64 hosts,exact fuzz lock version and checksum,crates.io sparse index,getrandom libc,update with cc,CI build tooling,no,Retain,n/a
jq,1.7.1-6+deb13u1,strict production provenance JSON validation,Substring matching cannot establish typed exact release fields,Kordian Zagaja,Debian snapshot updates,Review Debian security tracker and upstream advisories,MIT,x86_64 and aarch64 hosts,exact Debian package version,Debian snapshot repository,libjq1 libonig5,update snapshot and rerun release verification,untrusted release provenance,no,Retain,n/a
